image_id,timestamp,sonar_ping_id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,class,confidence,heading_deg,speed_m_s,latitude,longitude,depth_m
IMG-002750,2025-09-06T09:57:00.207664Z,PING-018507,0.1538,0.2939,0.3258,0.3435,buoy,0.75,98.79,0.8,24.637642,67.327952,204.74
IMG-002751,2025-09-14T23:50:40.423412Z,PING-013442,0.6123,0.2124,0.648,0.378,rock,0.61,143.91,1.43,25.101641,67.059824,133.86
IMG-002752,2025-09-02T13:36:08.403580Z,PING-011122,0.1243,0.0386,0.2462,0.0586,rock,0.99,140.88,1.66,25.573234,66.72825,276.53
IMG-002753,2025-09-05T03:00:32.901800Z,PING-007860,0.2569,0.1382,0.4244,0.2251,rock,0.29,284.52,2.46,25.499638,66.847866,39.48
IMG-002754,2025-09-22T07:03:38.002781Z,PING-017388,0.3641,0.3876,0.4334,0.481,buoy,0.56,136.56,2.06,25.138056,66.812991,168.43
IMG-002755,2025-09-03T11:38:02.376083Z,PING-013843,0.3684,0.1952,0.3884,0.3307,fish,0.64,16.87,1.86,24.890393,67.208698,125.67
IMG-002756,2025-09-08T20:51:44.288448Z,PING-019748,0.2113,0.2255,0.3566,0.3225,rock,0.66,125.52,2.67,25.470315,66.192132,248.51
IMG-002757,2025-09-21T11:22:20.525513Z,PING-014502,0.4547,0.5334,0.4747,0.5892,fish,0.61,0.48,2.04,24.717769,66.618669,109.01
IMG-002758,2025-09-16T00:01:48.437276Z,PING-018376,0.4805,0.1381,0.5375,0.2449,fish,0.74,21.68,1.05,24.92994,67.074516,201.19
IMG-002759,2025-08-27T15:15:25.459602Z,PING-005498,0.3574,0.2479,0.5535,0.4258,rock,0.78,61.53,1.14,24.171098,66.541043,43.98
IMG-002760,2025-08-30T04:31:44.188154Z,PING-018852,0.2111,0.1976,0.2718,0.3933,submersible,0.75,315.86,3.68,24.597322,66.971106,260.02
IMG-002761,2025-08-26T00:07:00.100664Z,PING-007890,0.2064,0.2722,0.3246,0.3239,wreck,0.89,125.18,0.26,24.917171,67.468566,183.38
IMG-002762,2025-09-13T16:44:03.977657Z,PING-015458,0.1723,0.0886,0.3197,0.3179,fish,0.89,160.07,1.15,25.936984,66.723024,94.31
IMG-002763,2025-09-08T04:47:44.216047Z,PING-017392,0.3451,0.76,0.469,0.8074,fish,0.75,170.32,1.72,24.285551,67.339258,126.18
IMG-002764,2025-08-29T19:08:55.110922Z,PING-018612,0.2183,0.1186,0.2968,0.2204,fish,0.62,331.17,1.68,24.748561,67.39791,32.46
IMG-002765,2025-09-23T12:10:59.939162Z,PING-018940,0.2393,0.1841,0.4249,0.3497,fish,0.77,161.62,1.25,23.870093,66.614393,162.13
IMG-002766,2025-09-10T15:49:32.701850Z,PING-017849,0.2735,0.5337,0.3566,0.6195,fish,0.55,175.88,2.93,25.174692,67.10152,79.34
IMG-002767,2025-09-02T00:38:02.115724Z,PING-010479,0.1774,0.2291,0.3946,0.3025,buoy,0.78,170.15,2.48,24.86671,67.448024,344.56
IMG-002768,2025-09-09T18:54:19.153816Z,PING-005960,0.3167,0.4566,0.4054,0.5763,fish,0.79,349.92,0.39,25.026552,67.464496,118.54
IMG-002769,2025-09-15T03:47:50.599832Z,PING-018707,0.1152,0.3445,0.1547,0.3743,fish,0.75,299.41,0.73,25.526929,66.367025,175.88
IMG-002770,2025-08-28T01:21:46.750370Z,PING-001804,0.3989,0.1718,0.5149,0.4206,fish,0.66,98.43,2.76,25.039302,67.598367,351.04
IMG-002771,2025-09-03T00:15:26.985987Z,PING-004402,0.3087,0.3768,0.3683,0.5169,fish,0.5,178.45,1.9,24.177158,66.61433,144.41
IMG-002772,2025-09-18T23:29:09.249754Z,PING-002540,0.2315,0.176,0.2684,0.2249,fish,0.52,4.19,0.45,24.566059,66.299479,105.93
IMG-002773,2025-09-08T13:25:46.041467Z,PING-012091,0.1966,0.3321,0.3208,0.3869,rock,0.9,203.57,1.84,24.321992,66.728645,73.33
IMG-002774,2025-09-11T04:00:22.649531Z,PING-010711,0.3447,0.129,0.3647,0.3391,fish,0.74,202.53,0.57,24.591291,66.077958,351.35
IMG-002775,2025-09-07T18:05:53.775110Z,PING-015013,0.2479,0.0656,0.3452,0.2443,fish,0.47,214.36,0.41,23.914358,65.907805,328.32
IMG-002776,2025-08-27T02:04:43.348714Z,PING-006600,0.37,0.3101,0.4817,0.4177,fish,0.51,322.98,1.63,23.881124,66.255333,330.58
IMG-002777,2025-08-30T17:48:38.126677Z,PING-011317,0.1326,0.1357,0.2037,0.3788,fish,0.78,168.11,1.52,24.981326,66.104631,158.62
IMG-002778,2025-09-08T03:15:38.625002Z,PING-006012,0.3827,0.1758,0.4252,0.29,fish,0.86,86.73,1.76,25.545488,66.933804,48.77
IMG-002779,2025-09-01T01:05:03.423720Z,PING-018087,0.1473,0.3327,0.286,0.4667,mine_like_object,0.66,93.61,1.38,25.080126,67.068306,39.81
IMG-002780,2025-08-27T06:27:20.339669Z,PING-019003,0.2911,0.3868,0.4331,0.4443,fish,0.92,103.29,1.71,25.45211,66.526094,185.04
IMG-002781,2025-09-20T01:53:54.626605Z,PING-001515,0.4706,0.2787,0.5628,0.4234,buoy,0.4,232.2,1.03,24.51841,66.574493,121.68
IMG-002782,2025-09-24T04:55:45.732976Z,PING-011082,0.2217,0.3838,0.4362,0.4839,fish,0.98,106.93,0.14,25.015252,67.031928,81.92
IMG-002783,2025-09-18T13:32:01.026783Z,PING-004099,0.14,0.2611,0.1861,0.2815,fish,0.77,174.67,3.11,24.332168,68.212289,249.64
IMG-002784,2025-09-20T09:11:45.214441Z,PING-011479,0.3862,0.1568,0.4062,0.2183,fish,0.48,332.94,0.94,25.542393,67.090965,159.79
IMG-002785,2025-09-02T00:41:39.419165Z,PING-001881,0.3945,0.0958,0.4823,0.1487,fish,0.85,131.8,2.96,24.248701,66.291784,278.84
IMG-002786,2025-09-23T14:07:19.817913Z,PING-003838,0.2406,0.0723,0.3441,0.1027,buoy,0.44,229.09,0.72,25.722841,66.257845,70.73
IMG-002787,2025-08-31T16:15:26.123326Z,PING-015677,0.1081,0.1396,0.2423,0.3183,fish,0.86,317.13,1.18,25.567725,67.073441,81.36
IMG-002788,2025-09-23T07:30:00.765841Z,PING-002624,0.727,0.2667,0.7803,0.3437,fish,0.48,294.93,0.24,24.846907,67.477901,126.86
IMG-002789,2025-09-24T14:44:26.307343Z,PING-018984,0.1944,0.2754,0.3331,0.4141,fish,0.84,11.97,0.62,24.792882,65.947096,101.34
IMG-002790,2025-09-16T02:54:40.209877Z,PING-009370,0.5322,0.2483,0.6275,0.4329,fish,0.73,251.7,0.56,25.612722,66.804104,11.38
IMG-002791,2025-09-24T04:53:39.250187Z,PING-009525,0.2875,0.0322,0.3256,0.1168,buoy,0.69,206.79,1.35,25.083412,65.793147,64.18
IMG-002792,2025-09-11T20:32:21.806021Z,PING-000703,0.0998,0.2303,0.2203,0.3309,fish,0.6,185.69,1.2,25.336914,66.791945,48.07
IMG-002793,2025-09-02T13:20:26.999375Z,PING-015475,0.1259,0.2184,0.2636,0.2762,rock,0.63,57.82,0.59,25.37395,66.562665,152.63
IMG-002794,2025-09-07T21:06:28.033028Z,PING-008435,0.4679,0.059,0.6069,0.1352,rock,0.44,126.73,0.73,24.968187,66.11579,74.92
IMG-002795,2025-09-12T13:50:04.641885Z,PING-000180,0.2692,0.3614,0.3485,0.5825,fish,0.82,5.7,1.43,24.450046,66.957357,318.16
IMG-002796,2025-08-27T23:05:22.106157Z,PING-014373,0.1018,0.1129,0.129,0.1847,fish,0.76,10.22,1.62,24.012415,65.976201,65.84
IMG-002797,2025-09-13T10:33:28.439271Z,PING-011582,0.0994,0.0932,0.1379,0.2169,buoy,0.71,61.31,3.79,24.951208,67.755502,179.4
IMG-002798,2025-09-24T04:55:07.650271Z,PING-016324,0.4407,0.1557,0.7836,0.1932,fish,0.73,282.81,0.05,25.119241,67.608509,84.41
IMG-002799,2025-08-31T11:20:53.725622Z,PING-007850,0.3397,0.1924,0.4639,0.3231,buoy,0.71,304.31,2.77,25.271989,67.084935,235.79
IMG-002800,2025-09-18T13:08:21.238802Z,PING-013521,0.0029,0.4354,0.1024,0.4914,fish,0.81,158.6,1.36,25.004674,67.367783,195.31
IMG-002801,2025-09-22T00:09:28.370860Z,PING-007869,0.3104,0.227,0.4743,0.4566,fish,0.99,299.51,1.9,24.681032,67.233322,69.35
IMG-002802,2025-09-23T01:56:09.225973Z,PING-007383,0.0481,0.6999,0.0787,0.7641,fish,0.97,97.5,2.53,24.514323,66.646077,304.58
IMG-002803,2025-09-23T13:46:06.184002Z,PING-015397,0.0647,0.4247,0.2103,0.554,rock,0.64,119.03,1.32,24.598922,67.181832,140.71
IMG-002804,2025-09-10T09:55:18.080949Z,PING-002278,0.4083,0.1804,0.5138,0.2004,fish,0.54,293.46,1.24,24.232356,66.635786,267.54
IMG-002805,2025-09-24T02:07:56.794897Z,PING-019081,0.0756,0.187,0.1756,0.2644,rock,0.78,66.16,0.23,24.219976,66.055555,175.38
IMG-002806,2025-09-17T11:44:02.754275Z,PING-016910,0.2941,0.0626,0.5264,0.1844,buoy,0.71,321.81,0.6,23.486531,67.80958,119.36
IMG-002807,2025-08-30T14:52:27.060109Z,PING-002144,0.3683,0.3974,0.4278,0.5189,rock,0.99,211.94,1.61,24.978318,66.538971,223.85
IMG-002808,2025-09-09T01:50:19.773348Z,PING-010675,0.0893,0.3539,0.1354,0.3833,fish,0.99,170.53,2.25,25.622117,67.221148,298.68
IMG-002809,2025-09-16T07:40:09.103947Z,PING-005098,0.4285,0.2037,0.4972,0.2879,fish,0.52,121.83,1.71,25.55147,67.194144,42.61
IMG-002810,2025-09-02T04:33:20.795986Z,PING-011970,0.292,0.2691,0.4058,0.3037,mine_like_object,0.66,191.65,0.56,23.861688,66.924798,276.05
IMG-002811,2025-09-13T23:42:49.253142Z,PING-003140,0.469,0.2881,0.6186,0.3552,buoy,0.94,200.59,1.76,25.425808,66.767809,89.52
IMG-002812,2025-09-14T18:25:23.139072Z,PING-015811,0.506,0.1697,0.5283,0.2321,fish,0.52,13.78,1.93,25.009007,67.028069,233.48
IMG-002813,2025-08-30T15:36:52.433335Z,PING-001004,0.2065,0.2946,0.3163,0.3474,fish,0.8,293.44,1.77,24.896981,66.761287,114.31
IMG-002814,2025-09-11T17:19:55.827261Z,PING-018341,0.259,0.1827,0.3313,0.3214,buoy,0.67,99.51,2.27,24.866451,66.599918,339.97
IMG-002815,2025-09-17T22:02:31.650640Z,PING-019399,0.4074,0.1941,0.5103,0.3291,rock,0.6,265.37,0.31,24.445988,67.08932,217.35
IMG-002816,2025-09-09T17:40:32.259860Z,PING-015746,0.358,0.3735,0.5482,0.4252,fish,0.8,206.68,2.11,24.042081,67.237935,40.1
IMG-002817,2025-08-26T03:11:05.976067Z,PING-008580,0.0918,0.1711,0.2179,0.3065,fish,0.67,125.29,0.15,25.415562,66.74999,151.43
IMG-002818,2025-08-26T00:58:42.409237Z,PING-009851,0.2936,0.2047,0.4104,0.2663,buoy,0.85,59.84,1.32,24.70878,66.798412,33.7
IMG-002819,2025-09-05T11:31:54.756953Z,PING-000458,0.1706,0.341,0.2533,0.402,buoy,0.93,253.63,1.44,24.79058,66.917611,161.46
IMG-002820,2025-09-22T13:19:49.722758Z,PING-003416,0.307,0.3288,0.4554,0.5132,fish,0.99,11.54,3.23,24.78636,67.687686,75.74
IMG-002821,2025-09-01T15:07:04.910116Z,PING-002484,0.4243,0.2728,0.4826,0.4581,wreck,0.73,270.19,2.52,24.319362,66.350798,22.17
IMG-002822,2025-09-13T19:12:45.378938Z,PING-009213,0.0255,0.0528,0.1447,0.1785,rock,0.84,295.07,1.18,25.389747,67.31991,188.91
IMG-002823,2025-09-01T10:21:55.354220Z,PING-002588,0.2286,0.389,0.4378,0.4243,fish,0.77,93.84,1.41,24.463608,67.350232,66.92
IMG-002824,2025-09-04T10:04:23.310581Z,PING-004816,0.2795,0.2787,0.3397,0.3691,fish,0.99,176.25,1.19,25.452946,66.573933,166.3
IMG-002825,2025-09-20T05:03:39.793630Z,PING-008756,0.2497,0.5424,0.4307,0.5905,fish,0.75,350.55,0.7,24.1826,67.477722,421.82
IMG-002826,2025-09-16T15:15:03.555747Z,PING-019859,0.2965,0.1993,0.3494,0.2954,fish,0.84,179.25,2.49,25.418411,66.269295,83.04
IMG-002827,2025-08-28T15:09:29.624179Z,PING-010284,0.1756,0.2686,0.2006,0.4453,fish,0.92,19.08,1.51,24.903239,66.676113,25.68
IMG-002828,2025-09-07T15:08:10.335780Z,PING-004762,0.5323,0.4895,0.5523,0.5388,fish,0.67,36.76,2.19,24.47074,66.577432,218.46
IMG-002829,2025-08-26T15:28:22.724752Z,PING-018152,0.307,0.0903,0.4384,0.3718,submersible,0.65,138.17,2.27,24.536278,66.94763,190.78
IMG-002830,2025-09-09T04:42:41.957378Z,PING-014741,0.2699,0.1656,0.3468,0.2924,buoy,0.97,320.7,0.09,24.355795,66.815543,54.17
IMG-002831,2025-09-14T15:25:23.655712Z,PING-008175,0.292,0.1645,0.4567,0.2025,rock,0.56,126.95,0.66,24.782115,67.370378,309.5
IMG-002832,2025-08-29T07:47:33.497749Z,PING-005206,0.4026,0.0889,0.5878,0.1731,buoy,0.92,284.7,2.47,25.568742,66.0048,325.7
IMG-002833,2025-09-03T10:28:04.459036Z,PING-013224,0.1173,0.2202,0.2166,0.2594,fish,0.99,17.56,1.13,24.93603,66.811543,123.17
IMG-002834,2025-09-06T16:54:47.230685Z,PING-013583,0.1324,0.2298,0.2588,0.2498,buoy,0.83,265.05,0.6,24.178383,67.004523,483.06
IMG-002835,2025-09-22T08:31:59.113291Z,PING-008264,0.1697,0.5077,0.2911,0.5985,fish,0.64,255.56,0.03,23.84837,66.298037,119.89
IMG-002836,2025-09-24T13:36:51.697359Z,PING-007799,0.0932,0.2831,0.1755,0.4227,buoy,0.87,118.12,1.46,24.714868,67.340008,233.55
IMG-002837,2025-08-27T02:48:24.784380Z,PING-013833,0.537,0.4005,0.6807,0.4486,rock,0.82,187.36,0.35,23.866452,67.191261,230.72
IMG-002838,2025-09-17T14:23:47.235083Z,PING-010552,0.3432,0.3806,0.5004,0.6025,buoy,0.99,265.19,2.06,24.659773,66.808714,205.94
IMG-002839,2025-09-05T22:06:43.477498Z,PING-011374,0.0939,0.146,0.382,0.2373,rock,0.87,234.56,1.48,24.067107,66.398386,91.82
IMG-002840,2025-09-06T13:02:26.316090Z,PING-018746,0.1401,0.2653,0.3719,0.3903,buoy,0.89,322.72,1.1,24.323439,67.250437,21.16
IMG-002841,2025-09-17T09:32:29.508298Z,PING-002227,0.481,0.2931,0.5297,0.3854,fish,0.75,356.73,1.42,25.150158,67.4292,67.18
IMG-002842,2025-09-22T07:44:16.009504Z,PING-017095,0.4042,0.224,0.5191,0.244,mine_like_object,0.84,332.27,1.78,25.141191,67.171987,66.51
IMG-002843,2025-09-23T07:08:21.614334Z,PING-015619,0.1488,0.2837,0.2382,0.4014,rock,0.69,221.84,1.15,24.797466,67.063111,210.42
IMG-002844,2025-09-12T01:59:56.440394Z,PING-011441,0.2449,0.3595,0.3659,0.4778,rock,0.82,146.58,1.19,24.74522,66.733464,228.69
IMG-002845,2025-09-05T11:35:52.742290Z,PING-011656,0.0946,0.1953,0.1925,0.2623,fish,0.87,85.07,2.67,24.266916,66.332044,128.02
IMG-002846,2025-09-18T09:30:21.927929Z,PING-007062,0.1154,0.1434,0.1419,0.2715,wreck,0.73,61.65,1.12,24.777765,67.319478,105.08
IMG-002847,2025-09-02T07:11:30.282799Z,PING-014909,0.1421,0.5142,0.2257,0.7063,submersible,0.53,34.01,0.29,24.206107,66.144701,18.49
IMG-002848,2025-09-11T16:36:14.580119Z,PING-017657,0.3113,0.2435,0.4778,0.347,buoy,0.85,318.93,1.28,25.004761,67.473009,140.78
IMG-002849,2025-09-05T12:38:50.069655Z,PING-015316,0.2092,0.333,0.2401,0.382,rock,0.87,62.93,1.31,24.44539,67.34534,89.95
IMG-002850,2025-09-14T11:14:42.440434Z,PING-008022,0.3562,0.0979,0.4731,0.2685,mine_like_object,0.76,165.47,1.43,24.540975,67.681674,61.1
IMG-002851,2025-09-01T23:33:28.679603Z,PING-017152,0.6048,0.3986,0.6326,0.4441,rock,0.61,317.76,2.66,25.388217,66.935433,270.84
IMG-002852,2025-08-31T12:25:03.612728Z,PING-006705,0.4632,0.2177,0.6097,0.4482,rock,0.67,218.46,0.43,25.452747,65.392044,18.32
IMG-002853,2025-09-22T07:36:10.410046Z,PING-003196,0.1733,0.2748,0.362,0.3159,submersible,0.74,54.16,0.19,24.12638,67.4074,25.7
IMG-002854,2025-08-28T19:46:09.843588Z,PING-009776,0.1614,0.3721,0.2743,0.4875,mine_like_object,0.78,206.66,1.1,25.346554,67.091316,351.98
IMG-002855,2025-09-09T22:45:37.594232Z,PING-002643,0.2572,0.2426,0.3091,0.3839,fish,0.7,208.58,3.06,24.963804,66.857079,229.01
IMG-002856,2025-09-01T09:29:05.110823Z,PING-019639,0.2687,0.0691,0.293,0.2501,fish,0.6,196.48,0.51,24.668188,67.31043,180.13
IMG-002857,2025-08-26T22:30:01.162323Z,PING-018001,0.2073,0.4435,0.2823,0.5447,rock,0.65,130.49,1.73,24.925198,66.163415,419.63
IMG-002858,2025-08-26T20:24:15.474394Z,PING-010060,0.2489,0.2007,0.3078,0.2769,buoy,0.56,268.17,1.14,23.881547,66.658238,217.84
IMG-002859,2025-08-31T00:37:49.530681Z,PING-012494,0.2637,0.3276,0.3132,0.3701,rock,0.86,30.77,0.61,24.48068,67.377464,66.15
IMG-002860,2025-09-20T18:32:43.456263Z,PING-017518,0.2839,0.7748,0.3596,0.8918,fish,0.94,345.7,0.15,23.658198,67.088541,6.31
IMG-002861,2025-09-03T05:51:19.601771Z,PING-015468,0.242,0.2438,0.2787,0.2638,fish,0.91,70.66,4.17,25.007178,67.027553,39.1
IMG-002862,2025-09-23T06:48:04.867514Z,PING-007775,0.116,0.2096,0.2035,0.3186,fish,0.84,55.49,1.04,25.174089,66.250133,187.29
IMG-002863,2025-09-12T05:14:19.680811Z,PING-005569,0.839,0.0906,1.0,0.1696,fish,0.47,70.07,1.2,24.433667,65.971024,142.34
IMG-002864,2025-09-07T20:49:58.677264Z,PING-017974,0.3291,0.0936,0.6299,0.2242,buoy,0.57,277.39,2.14,24.860132,66.721689,64.42
IMG-002865,2025-09-12T04:08:04.956846Z,PING-013274,0.2474,0.7693,0.3556,0.8404,mine_like_object,0.76,249.75,1.48,24.205173,66.683416,152.46
IMG-002866,2025-09-10T06:29:36.911889Z,PING-001496,0.6046,0.2419,0.6815,0.3381,buoy,0.87,337.41,1.8,24.864649,66.371623,66.4
IMG-002867,2025-09-17T12:47:22.747122Z,PING-001348,0.187,0.2165,0.2205,0.3421,fish,0.64,30.75,2.46,24.510887,66.294915,111.79
IMG-002868,2025-09-03T05:52:04.500385Z,PING-003450,0.2246,0.2717,0.3347,0.3944,rock,0.86,231.9,1.64,23.800383,66.769424,18.74
IMG-002869,2025-09-05T08:40:01.312411Z,PING-014456,0.359,0.4045,0.483,0.4505,rock,0.99,134.33,0.87,24.707782,67.44767,329.21
IMG-002870,2025-09-21T14:13:07.129549Z,PING-013776,0.3823,0.2762,0.5747,0.3956,rock,0.68,339.39,1.53,24.828613,66.397327,94.67
IMG-002871,2025-09-23T03:55:09.979469Z,PING-005585,0.085,0.221,0.2545,0.2607,fish,0.46,99.52,1.54,25.814876,67.31417,30.87
IMG-002872,2025-09-21T13:06:45.623028Z,PING-017552,0.3743,0.5312,0.4585,0.6104,wreck,0.65,14.19,0.37,24.738472,67.261722,43.18
IMG-002873,2025-09-07T08:28:23.897720Z,PING-007129,0.1368,0.122,0.1817,0.2923,fish,0.77,6.36,1.21,25.356145,66.088289,45.11
IMG-002874,2025-09-18T04:20:02.081177Z,PING-012988,0.2019,0.279,0.2701,0.3728,rock,0.86,1.59,0.97,25.589521,66.775887,120.48
IMG-002875,2025-09-09T01:25:56.918099Z,PING-012501,0.0292,0.1903,0.1241,0.2862,fish,0.69,93.09,1.97,24.190281,66.488111,59.3
IMG-002876,2025-09-09T16:41:57.994146Z,PING-016581,0.4764,0.1134,0.6264,0.1334,fish,0.64,144.51,2.5,24.829068,66.446466,103.29
IMG-002877,2025-08-31T21:50:25.540059Z,PING-003150,0.1165,0.0329,0.1766,0.0898,rock,0.84,247.06,1.51,25.747534,66.713914,175.27
IMG-002878,2025-09-12T12:05:04.443429Z,PING-001816,0.1873,0.1663,0.2843,0.3627,fish,0.88,87.19,2.03,24.635076,66.474258,141.0
IMG-002879,2025-08-31T08:29:18.944360Z,PING-002276,0.3741,0.2072,0.4361,0.2809,buoy,0.92,147.03,1.44,24.800905,66.966862,38.28
IMG-002880,2025-09-04T17:11:50.397365Z,PING-006627,0.1091,0.2631,0.2124,0.2974,rock,0.91,304.08,0.09,24.775319,67.33475,360.9
IMG-002881,2025-09-20T10:05:32.979982Z,PING-011251,0.0447,0.2079,0.2059,0.259,rock,0.85,151.17,0.05,25.202894,66.456062,80.88
IMG-002882,2025-08-31T23:33:55.194858Z,PING-017173,0.2941,0.1871,0.4243,0.3935,rock,0.95,177.11,2.08,24.372074,67.356027,314.17
IMG-002883,2025-08-27T21:42:16.972553Z,PING-011141,0.26,0.3404,0.2888,0.4161,fish,0.69,263.41,1.78,24.359444,66.947738,110.59
IMG-002884,2025-08-27T20:09:22.377435Z,PING-018652,0.4133,0.2808,0.4564,0.5847,fish,0.99,352.52,1.63,24.900902,66.096967,440.91
IMG-002885,2025-09-22T23:50:08.174527Z,PING-015186,0.0856,0.202,0.2256,0.2606,buoy,0.92,5.2,2.16,24.335967,66.608894,59.83
IMG-002886,2025-09-09T23:27:12.472580Z,PING-007247,0.1421,0.1275,0.285,0.3146,rock,0.89,42.03,2.33,25.162826,67.250945,179.09
IMG-002887,2025-09-07T01:14:50.787533Z,PING-013889,0.3138,0.2178,0.5062,0.3171,buoy,0.86,36.68,1.81,24.5104,67.10501,36.15
IMG-002888,2025-09-19T02:18:11.979356Z,PING-017529,0.3825,0.618,0.4404,0.638,fish,0.95,328.27,0.88,24.804004,65.951633,145.44
IMG-002889,2025-09-19T20:15:55.502527Z,PING-008311,0.3443,0.2338,0.4276,0.4061,submersible,0.67,228.9,0.77,24.65598,66.714416,138.89
IMG-002890,2025-09-04T17:38:53.855219Z,PING-019973,0.1105,0.316,0.1385,0.3857,buoy,0.69,205.85,0.39,25.178781,66.319394,223.92
IMG-002891,2025-09-15T13:52:32.702355Z,PING-007114,0.2994,0.0466,0.4298,0.2053,fish,0.7,247.27,2.53,25.271294,65.971238,267.66
IMG-002892,2025-09-17T21:40:45.036071Z,PING-001713,0.3296,0.2706,0.5052,0.4089,fish,0.87,215.42,0.14,23.672318,66.825478,59.24
IMG-002893,2025-09-14T09:49:09.277740Z,PING-008541,0.8112,0.0607,0.8322,0.3087,fish,0.95,40.82,1.1,24.141437,66.295162,159.54
IMG-002894,2025-08-30T07:37:09.131265Z,PING-000917,0.6295,0.1737,0.6733,0.2312,rock,0.77,65.19,2.26,24.457457,67.391082,249.39
IMG-002895,2025-09-21T01:06:23.649859Z,PING-008623,0.2947,0.3894,0.352,0.5336,fish,0.53,148.22,1.67,24.82463,66.150754,142.82
IMG-002896,2025-09-10T22:37:07.778075Z,PING-008182,0.2323,0.2213,0.3508,0.446,fish,0.94,47.08,0.03,24.876373,66.470498,129.05
IMG-002897,2025-09-03T05:51:03.226534Z,PING-017261,0.0756,0.3879,0.18,0.4084,fish,0.44,33.88,1.4,26.306772,67.456341,281.67
IMG-002898,2025-09-07T12:38:06.154038Z,PING-012674,0.2196,0.377,0.2396,0.4139,buoy,0.36,140.65,0.86,26.009507,66.720676,198.04
IMG-002899,2025-08-26T21:31:18.963697Z,PING-015678,0.2131,0.112,0.2331,0.2048,buoy,0.83,122.24,0.67,23.847302,66.912907,73.49
IMG-002900,2025-08-29T14:32:05.446152Z,PING-017423,0.1493,0.2626,0.2547,0.4104,buoy,0.77,255.48,2.26,24.648632,67.426647,103.63
IMG-002901,2025-09-17T17:39:51.874720Z,PING-007894,0.3872,0.3998,0.6035,0.5426,buoy,0.66,40.12,0.57,23.811313,66.857759,122.53
IMG-002902,2025-08-25T18:28:44.854669Z,PING-013530,0.3768,0.2398,0.4625,0.4039,rock,0.62,265.0,1.21,25.334511,66.959707,48.84
IMG-002903,2025-09-07T06:23:53.324809Z,PING-011077,0.0843,0.1065,0.1954,0.2434,rock,0.77,77.99,0.21,25.01281,67.348441,80.2
IMG-002904,2025-09-10T10:40:41.086757Z,PING-005344,0.4783,0.5865,0.5193,0.7616,fish,0.36,156.95,1.96,24.25068,66.325209,95.66
IMG-002905,2025-08-27T09:48:27.114026Z,PING-010018,0.4277,0.055,0.4477,0.1166,buoy,0.87,95.68,1.45,24.703487,66.748052,225.89
IMG-002906,2025-09-23T23:05:13.295807Z,PING-016401,0.1319,0.3652,0.1936,0.4614,buoy,0.75,81.93,1.39,24.798545,67.232563,162.36
IMG-002907,2025-09-01T13:16:51.555982Z,PING-003291,0.4874,0.1626,0.5254,0.2748,buoy,0.65,139.12,3.42,24.502343,66.228792,72.58
IMG-002908,2025-09-03T21:29:37.778680Z,PING-010432,0.4392,0.2511,0.5671,0.4798,fish,0.51,308.55,0.88,24.698411,65.687325,479.59
IMG-002909,2025-09-03T21:18:33.689148Z,PING-017526,0.4,0.2381,0.4695,0.4093,fish,0.63,169.22,1.72,24.335152,66.968744,3.29
IMG-002910,2025-09-01T16:22:14.685591Z,PING-003435,0.227,0.0475,0.3353,0.2848,buoy,0.74,235.92,0.31,25.274095,67.174169,207.8
IMG-002911,2025-08-25T19:31:54.844231Z,PING-016172,0.4021,0.2145,0.488,0.2839,fish,0.71,155.05,0.96,24.543781,66.459041,155.34
IMG-002912,2025-09-16T15:35:56.403659Z,PING-003445,0.4665,0.1996,0.4917,0.2715,wreck,0.52,185.34,1.06,24.47443,67.448126,119.15
IMG-002913,2025-09-23T18:35:58.232863Z,PING-009618,0.2924,0.1384,0.3898,0.2438,buoy,0.63,241.97,1.36,24.474416,66.456486,108.56
IMG-002914,2025-09-01T11:57:43.406058Z,PING-002341,0.3871,0.0716,0.4689,0.1063,buoy,0.7,318.39,0.65,24.248205,65.893534,125.75
IMG-002915,2025-09-14T15:51:53.018537Z,PING-009885,0.2309,0.1939,0.397,0.2679,rock,0.79,90.31,0.92,24.593125,66.998469,139.36
IMG-002916,2025-09-17T00:38:09.976860Z,PING-010322,0.4318,0.1911,0.4778,0.2452,buoy,0.79,331.34,1.86,25.179085,66.190294,72.47
IMG-002917,2025-09-20T05:20:13.279986Z,PING-001076,0.0686,0.2189,0.182,0.2841,buoy,0.88,301.2,2.7,24.065028,66.49287,200.35
IMG-002918,2025-09-07T10:45:49.576042Z,PING-009546,0.4624,0.422,0.6448,0.4878,rock,0.55,113.25,1.21,24.551419,66.565759,34.95
IMG-002919,2025-09-03T20:34:51.604803Z,PING-000657,0.4868,0.1475,0.5984,0.2049,rock,0.8,176.88,0.62,25.084352,67.263225,10.0
IMG-002920,2025-09-04T12:40:59.684771Z,PING-002373,0.1349,0.2212,0.3283,0.2412,wreck,0.76,103.04,2.79,25.332973,67.05692,4.09
IMG-002921,2025-09-16T03:33:29.192774Z,PING-003779,0.5769,0.2629,0.6774,0.2829,buoy,0.67,56.51,0.85,24.936103,67.055672,15.73
IMG-002922,2025-09-19T06:33:07.074566Z,PING-016605,0.2981,0.1398,0.3354,0.2014,rock,0.81,90.19,2.33,24.556166,67.61522,126.11
